# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 71
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 01:40:39 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on XT-PeeCee
# Player 2: Player-1, '260640319', running on XT-PeeCee
START Player-0 RandomHusPlayer
START Player-1 260640319
PIT 0 18
PIT 1 2
PIT 0 21
PIT 1 14
PIT 0 26
PIT 1 18
PIT 0 10
PIT 1 1
PIT 0 16
PIT 1 24
PIT 0 14
GAMEOVER ILLEGAL MOVE: Player 1 plays pit 3 WINNER 0
# Game ended: Mon Apr 04 01:40:41 EDT 2016
