# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 15
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 15:12:17 EDT 2016
# Player 1: Player-0, 'Human', running on XT-PeeCee
# Player 2: Player-1, 'xxxxxxxxx', running on XT-PeeCee
START Player-0 Human
START Player-1 xxxxxxxxx
PIT 0 23
PIT 1 0
PIT 0 21
PIT 1 1
PIT 0 12
PIT 1 3
PIT 0 7
PIT 1 5
PIT 0 11
PIT 1 6
PIT 0 8
PIT 1 8
PIT 0 23
PIT 1 9
PIT 0 19
PIT 1 10
PIT 0 18
PIT 1 11
PIT 0 12
PIT 1 12
PIT 0 29
PIT 1 14
PIT 0 24
PIT 1 17
PIT 0 23
PIT 1 19
PIT 0 5
PIT 1 20
PIT 0 26
PIT 1 21
PIT 0 25
PIT 1 22
PIT 0 8
PIT 1 0
PIT 0 7
PIT 1 23
