# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 191
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 23:24:34 EDT 2016
# Player 1: Player-0, 'Human', running on XT-PeeCee
# Player 2: Player-1, 'MK7NoRandom', running on XT-PeeCee
START Player-0 Human
START Player-1 MK7NoRandom
PIT 0 6
PIT 1 6
PIT 0 22
PIT 1 12
PIT 0 18
PIT 1 10
PIT 0 25
PIT 1 22
PIT 0 19
PIT 1 14
PIT 0 20
PIT 1 16
PIT 0 12
PIT 1 23
PIT 0 13
PIT 1 26
PIT 0 9
PIT 1 0
PIT 0 28
PIT 1 0
PIT 0 23
PIT 1 12
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 23:25:24 EDT 2016
