# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 326
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:33:14 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 20
PIT 1 22
PIT 0 9
PIT 1 3
PIT 0 21
PIT 1 21
PIT 0 3
PIT 1 25
PIT 0 2
PIT 1 26
PIT 0 0
PIT 1 19
PIT 0 7
PIT 1 0
PIT 0 12
PIT 1 2
PIT 0 1
PIT 1 4
PIT 0 13
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 16
PIT 1 16
PIT 0 4
PIT 1 29
PIT 0 2
PIT 1 6
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 21:33:39 EDT 2016
