# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 123
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:41:38 EDT 2016
# Player 1: Player-0, 'MK7', running on 127.0.0.1
# Player 2: Player-1, '260638099', running on 127.0.0.1
START Player-0 MK7
START Player-1 260638099
PIT 0 6
PIT 1 2
PIT 0 15
PIT 1 20
PIT 0 16
PIT 1 14
PIT 0 29
PIT 1 25
PIT 0 19
PIT 1 11
PIT 0 10
PIT 1 21
PIT 0 18
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 6
PIT 1 6
PIT 0 23
PIT 1 7
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 21:41:43 EDT 2016
