# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 127
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:46:33 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 127.0.0.1
# Player 2: Player-1, '260638099', running on 127.0.0.1
START Player-0 RandomHusPlayer
START Player-1 260638099
PIT 0 14
PIT 1 10
PIT 0 11
PIT 1 13
PIT 0 10
PIT 1 6
PIT 0 6
PIT 1 1
PIT 0 2
PIT 1 4
PIT 0 9
PIT 1 19
PIT 0 17
PIT 1 8
PIT 0 22
PIT 1 0
PIT 0 13
PIT 1 5
PIT 0 30
PIT 1 13
PIT 0 1
PIT 1 14
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 21:46:34 EDT 2016
