# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 104
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 17:11:55 EDT 2016
# Player 1: Player-0, 'MK7', running on 127.0.0.1
# Player 2: Player-1, 'QingNoob', running on 127.0.0.1
START Player-0 MK7
START Player-1 QingNoob
PIT 0 6
PIT 1 23
PIT 0 15
PIT 1 10
PIT 0 19
PIT 1 18
PIT 0 22
PIT 1 22
PIT 0 13
PIT 1 25
PIT 0 3
PIT 1 4
PIT 0 7
PIT 1 21
PIT 0 14
PIT 1 23
PIT 0 15
PIT 1 27
PIT 0 13
PIT 1 8
PIT 0 4
PIT 1 13
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 17:12:00 EDT 2016
