# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 148
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 19:07:43 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 127.0.0.1
# Player 2: Player-1, 'MK7Randomized+danger', running on 127.0.0.1
START Player-0 RandomHusPlayer
START Player-1 MK7Randomized+danger
PIT 0 21
PIT 1 22
PIT 0 15
PIT 1 1
PIT 0 16
PIT 1 13
PIT 0 12
PIT 1 4
PIT 0 2
PIT 1 26
PIT 0 1
PIT 1 22
PIT 0 0
PIT 1 15
PIT 0 5
PIT 1 3
PIT 0 10
PIT 1 23
PIT 0 14
PIT 1 30
PIT 0 17
PIT 1 18
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 19:07:44 EDT 2016
