# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 345
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:54:19 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 19
PIT 1 18
PIT 0 20
PIT 1 19
PIT 0 24
PIT 1 14
PIT 0 15
PIT 1 4
PIT 0 5
PIT 1 11
PIT 0 14
PIT 1 3
PIT 0 12
PIT 1 15
PIT 0 19
PIT 1 9
PIT 0 21
PIT 1 19
PIT 0 23
PIT 1 1
PIT 0 24
PIT 1 3
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 21:54:45 EDT 2016
