# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 282
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 19:15:14 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'Iterative +  vanilla', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 Iterative +  vanilla
PIT 0 6
PIT 1 9
PIT 0 15
PIT 1 0
PIT 0 22
PIT 1 19
PIT 0 21
PIT 1 15
PIT 0 19
PIT 1 12
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 1
PIT 0 6
PIT 1 6
PIT 0 25
PIT 1 7
PIT 0 2
PIT 1 3
PIT 0 11
PIT 1 8
PIT 0 5
PIT 1 4
PIT 0 0
PIT 1 9
PIT 0 20
PIT 1 7
PIT 0 1
PIT 1 8
PIT 0 2
PIT 1 9
PIT 0 23
PIT 1 10
PIT 0 19
PIT 1 13
PIT 0 24
PIT 1 14
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 19:16:19 EDT 2016
