# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 243
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 21:57:59 EDT 2016
# Player 1: Player-0, 'MK7No_Randomized_no_danger', running on 127.0.0.1
# Player 2: Player-1, 'MKX_No_Randomized_+Danger+21+Timer', running on 127.0.0.1
START Player-0 MK7No_Randomized_no_danger
START Player-1 MKX_No_Randomized_+Danger+21+Timer
PIT 0 21
PIT 1 1
PIT 0 19
PIT 1 16
PIT 0 1
PIT 1 17
PIT 0 21
PIT 1 20
PIT 0 16
PIT 1 21
PIT 0 14
PIT 1 25
PIT 0 28
PIT 1 10
PIT 0 5
PIT 1 14
PIT 0 14
PIT 1 29
PIT 0 30
PIT 1 11
PIT 0 21
PIT 1 13
PIT 0 0
PIT 1 14
PIT 0 22
PIT 1 15
PIT 0 19
PIT 1 16
PIT 0 6
PIT 1 18
PIT 0 4
PIT 1 19
PIT 0 0
PIT 1 20
PIT 0 10
PIT 1 21
PIT 0 16
PIT 1 17
PIT 0 7
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 21:59:05 EDT 2016
