# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 64
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 01:37:14 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on XT-PeeCee
# Player 2: Player-1, '260640319', running on XT-PeeCee
START Player-0 RandomHusPlayer
START Player-1 260640319
PIT 0 9
PIT 1 2
PIT 0 12
PIT 1 14
PIT 0 21
PIT 1 12
PIT 0 0
PIT 1 16
PIT 0 1
PIT 1 26
PIT 0 5
PIT 1 19
PIT 0 16
PIT 1 18
PIT 0 10
PIT 1 19
GAMEOVER WINNER 1
# Game ended: Mon Apr 04 01:37:14 EDT 2016
