# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 89
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 16:50:24 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 127.0.0.1
# Player 2: Player-1, '260640319', running on 127.0.0.1
START Player-0 RandomHusPlayer
START Player-1 260640319
PIT 0 20
PIT 1 22
PIT 0 5
PIT 1 18
PIT 0 3
PIT 1 19
PIT 0 1
PIT 1 24
PIT 0 4
PIT 1 15
PIT 0 12
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 0
PIT 1 2
PIT 0 3
PIT 1 4
PIT 0 7
PIT 1 5
PIT 0 8
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 9
PIT 1 2
PIT 0 4
PIT 1 3
PIT 0 5
PIT 1 7
PIT 0 6
PIT 1 0
PIT 0 9
PIT 1 10
PIT 0 10
PIT 1 29
PIT 0 11
PIT 1 30
PIT 0 12
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Mon Apr 04 16:50:24 EDT 2016
