# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 256
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 17:58:15 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'MKXI+iterative', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 MKXI+iterative
PIT 0 6
PIT 1 1
PIT 0 5
PIT 1 19
PIT 0 21
PIT 1 14
PIT 0 22
PIT 1 20
PIT 0 28
PIT 1 4
PIT 0 4
PIT 1 5
PIT 0 23
PIT 1 22
PIT 0 18
PIT 1 2
PIT 0 1
PIT 1 26
PIT 0 15
PIT 1 28
PIT 0 16
PIT 1 29
PIT 0 13
PIT 1 30
PIT 0 5
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 17:59:06 EDT 2016
