# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 249
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 22:50:09 EDT 2016
# Player 1: Player-0, 'MKXI+iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7No_Randomized_no_danger', running on 127.0.0.1
START Player-0 MKXI+iterative
START Player-1 MK7No_Randomized_no_danger
PIT 0 0
PIT 1 1
PIT 0 21
PIT 1 17
PIT 0 26
PIT 1 7
PIT 0 30
PIT 1 13
PIT 0 13
PIT 1 5
PIT 0 9
PIT 1 20
PIT 0 10
PIT 1 2
PIT 0 11
PIT 1 28
PIT 0 16
PIT 1 9
PIT 0 22
PIT 1 1
PIT 0 1
PIT 1 6
PIT 0 2
PIT 1 22
PIT 0 3
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Wed Apr 06 22:51:01 EDT 2016
