# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 29
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 15:25:29 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 127.0.0.1
# Player 2: Player-1, 'xxxxxxxxx', running on 127.0.0.1
START Player-0 RandomHusPlayer
START Player-1 xxxxxxxxx
PIT 0 10
PIT 1 0
PIT 0 17
PIT 1 1
PIT 0 1
PIT 1 3
PIT 0 19
PIT 1 6
PIT 0 11
PIT 1 9
PIT 0 5
PIT 1 10
PIT 0 0
PIT 1 15
PIT 0 4
PIT 1 21
PIT 0 14
PIT 1 25
PIT 0 9
PIT 1 26
PIT 0 7
PIT 1 27
PIT 0 11
PIT 1 29
PIT 0 22
PIT 1 30
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 15:25:29 EDT 2016
