# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 342
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:48:49 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 MK7NoRandom - TimeLimited iterative
PIT 0 6
PIT 1 14
PIT 0 15
PIT 1 21
PIT 0 4
PIT 1 7
PIT 0 0
PIT 1 18
PIT 0 21
PIT 1 2
PIT 0 16
PIT 1 24
PIT 0 10
PIT 1 28
PIT 0 6
PIT 1 13
PIT 0 30
PIT 1 16
PIT 0 22
PIT 1 17
PIT 0 12
PIT 1 20
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 21:49:05 EDT 2016
