# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 116
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:37:47 EDT 2016
# Player 1: Player-0, 'MK7', running on 127.0.0.1
# Player 2: Player-1, '260638099', running on 127.0.0.1
START Player-0 MK7
START Player-1 260638099
PIT 0 6
PIT 1 10
PIT 0 5
PIT 1 16
PIT 0 15
PIT 1 14
PIT 0 21
PIT 1 23
PIT 0 19
PIT 1 0
PIT 0 0
PIT 1 4
PIT 0 20
PIT 1 1
PIT 0 13
PIT 1 3
PIT 0 12
PIT 1 10
PIT 0 1
PIT 1 13
PIT 0 4
PIT 1 14
PIT 0 21
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 21:37:52 EDT 2016
