# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 154
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 19:09:17 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 127.0.0.1
# Player 2: Player-1, 'MK7Randomized+danger', running on 127.0.0.1
START Player-0 RandomHusPlayer
START Player-1 MK7Randomized+danger
PIT 0 12
PIT 1 8
PIT 0 19
PIT 1 21
PIT 0 2
PIT 1 23
PIT 0 1
PIT 1 27
PIT 0 24
PIT 1 29
PIT 0 5
PIT 1 2
PIT 0 22
PIT 1 17
PIT 0 21
PIT 1 12
PIT 0 12
PIT 1 19
PIT 0 13
PIT 1 21
PIT 0 0
PIT 1 28
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 19:09:19 EDT 2016
