# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 283
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 19:19:23 EDT 2016
# Player 1: Player-0, 'Iterative +  vanilla', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 Iterative +  vanilla
START Player-1 MK7NoRandom
PIT 0 15
PIT 1 22
PIT 0 19
PIT 1 3
PIT 0 16
PIT 1 12
PIT 0 5
PIT 1 20
PIT 0 0
PIT 1 6
PIT 0 9
PIT 1 0
PIT 0 12
PIT 1 11
PIT 0 26
PIT 1 20
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 19:20:09 EDT 2016
