# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 272
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 18:33:27 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'MKXI+iterative', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 MKXI+iterative
PIT 0 6
PIT 1 3
PIT 0 18
PIT 1 9
PIT 0 21
PIT 1 4
PIT 0 9
PIT 1 18
PIT 0 19
PIT 1 10
PIT 0 15
PIT 1 0
PIT 0 13
PIT 1 21
PIT 0 0
PIT 1 1
PIT 0 2
PIT 1 3
PIT 0 4
PIT 1 24
PIT 0 19
PIT 1 26
PIT 0 3
PIT 1 28
PIT 0 1
PIT 1 29
PIT 0 13
PIT 1 30
PIT 0 16
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 18:34:25 EDT 2016
