# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 328
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:37:20 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 18
PIT 1 20
PIT 0 5
PIT 1 21
PIT 0 22
PIT 1 2
PIT 0 0
PIT 1 17
PIT 0 15
PIT 1 18
PIT 0 12
PIT 1 8
PIT 0 9
PIT 1 1
GAMEOVER TIMEOUT WINNER 1
# Game ended: Thu Apr 07 21:37:35 EDT 2016
