# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 348
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 22:03:35 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 16
PIT 1 23
PIT 0 15
PIT 1 2
PIT 0 20
PIT 1 14
PIT 0 12
PIT 1 29
PIT 0 2
PIT 1 20
PIT 0 1
PIT 1 0
PIT 0 19
PIT 1 5
PIT 0 0
PIT 1 7
PIT 0 3
PIT 1 0
GAMEOVER DISCONNECTION Player-1 WINNER 0
# Game ended: Thu Apr 07 22:04:00 EDT 2016
