# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 269
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 18:25:57 EDT 2016
# Player 1: Player-0, 'MKXI+iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MKXI+iterative
START Player-1 MK7NoRandom
PIT 0 23
PIT 1 22
PIT 0 4
PIT 1 7
PIT 0 17
PIT 1 13
PIT 0 14
PIT 1 20
PIT 0 10
PIT 1 3
PIT 0 19
PIT 1 15
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 3
PIT 0 2
PIT 1 4
PIT 0 3
PIT 1 21
PIT 0 6
PIT 1 30
PIT 0 7
PIT 1 4
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 18:26:50 EDT 2016
