# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 216
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 21:19:32 EDT 2016
# Player 1: Player-0, 'MK7No_Randomized_no_danger', running on 127.0.0.1
# Player 2: Player-1, 'MKX_No_Randomized_+Danger+21+Timer', running on 127.0.0.1
START Player-0 MK7No_Randomized_no_danger
START Player-1 MKX_No_Randomized_+Danger+21+Timer
PIT 0 21
PIT 1 8
PIT 0 13
PIT 1 6
PIT 0 5
PIT 1 7
PIT 0 9
PIT 1 0
PIT 0 11
PIT 1 17
PIT 0 22
PIT 1 3
PIT 0 25
PIT 1 4
PIT 0 7
PIT 1 5
PIT 0 4
PIT 1 1
PIT 0 0
PIT 1 15
PIT 0 2
PIT 1 9
PIT 0 25
PIT 1 6
PIT 0 0
PIT 1 8
PIT 0 3
PIT 1 9
PIT 0 27
PIT 1 12
PIT 0 9
PIT 1 13
PIT 0 26
PIT 1 14
PIT 0 16
PIT 1 15
PIT 0 5
PIT 1 17
PIT 0 24
PIT 1 19
PIT 0 19
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 21:19:42 EDT 2016
