# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 241
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 21:55:17 EDT 2016
# Player 1: Player-0, 'MK7No_Randomized_no_danger', running on 127.0.0.1
# Player 2: Player-1, 'MKX_No_Randomized_+Danger+21+Timer', running on 127.0.0.1
START Player-0 MK7No_Randomized_no_danger
START Player-1 MKX_No_Randomized_+Danger+21+Timer
PIT 0 21
PIT 1 11
PIT 0 2
PIT 1 17
PIT 0 18
PIT 1 21
PIT 0 8
PIT 1 18
PIT 0 12
PIT 1 22
PIT 0 13
PIT 1 25
PIT 0 16
PIT 1 29
PIT 0 14
PIT 1 30
PIT 0 21
PIT 1 2
PIT 0 17
PIT 1 3
PIT 0 18
PIT 1 4
PIT 0 22
PIT 1 9
PIT 0 27
PIT 1 15
PIT 0 19
PIT 1 1
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 21:56:16 EDT 2016
