# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 59
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 00:33:13 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on XT-PeeCee
# Player 2: Player-1, '260640319', running on XT-PeeCee
START Player-0 RandomHusPlayer
START Player-1 260640319
PIT 0 12
PIT 1 15
PIT 0 10
PIT 1 0
PIT 0 15
PIT 1 4
PIT 0 11
PIT 1 1
PIT 0 7
GAMEOVER ILLEGAL MOVE: Player 1 plays pit 1 WINNER 0
# Game ended: Mon Apr 04 00:33:15 EDT 2016
