# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 112
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:35:19 EDT 2016
# Player 1: Player-0, 'MK7', running on 127.0.0.1
# Player 2: Player-1, '260638099', running on 127.0.0.1
START Player-0 MK7
START Player-1 260638099
PIT 0 6
PIT 1 1
PIT 0 5
PIT 1 5
PIT 0 21
PIT 1 7
PIT 0 22
PIT 1 12
PIT 0 25
PIT 1 22
PIT 0 11
PIT 1 19
PIT 0 14
PIT 1 20
PIT 0 22
PIT 1 0
PIT 0 1
PIT 1 4
PIT 0 12
PIT 1 6
PIT 0 19
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 21:35:25 EDT 2016
