# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 284
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 19:20:10 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'Iterative +  vanilla', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 Iterative +  vanilla
PIT 0 6
PIT 1 23
PIT 0 15
PIT 1 21
PIT 0 19
PIT 1 14
PIT 0 20
PIT 1 2
PIT 0 13
PIT 1 0
PIT 0 21
PIT 1 3
PIT 0 0
PIT 1 10
PIT 0 1
PIT 1 1
PIT 0 4
PIT 1 5
PIT 0 10
PIT 1 8
PIT 0 17
PIT 1 9
PIT 0 23
GAMEOVER TIMEOUT WINNER 0
# Game ended: Thu Apr 07 19:21:07 EDT 2016
