# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 341
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:48:33 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 13
PIT 1 23
PIT 0 10
PIT 1 22
PIT 0 2
PIT 1 0
PIT 0 16
PIT 1 15
PIT 0 17
PIT 1 21
PIT 0 19
PIT 1 16
PIT 0 0
PIT 1 6
PIT 0 24
PIT 1 3
PIT 0 25
PIT 1 12
PIT 0 14
PIT 1 2
PIT 0 27
PIT 1 8
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 21:48:48 EDT 2016
