# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 157
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 19:09:49 EDT 2016
# Player 1: Player-0, 'MK7Randomized+danger', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7Randomized+danger
START Player-1 MK7NoRandom
PIT 0 9
PIT 1 22
PIT 0 5
PIT 1 4
PIT 0 12
PIT 1 8
PIT 0 2
PIT 1 16
PIT 0 6
PIT 1 0
PIT 0 0
PIT 1 14
PIT 0 18
PIT 1 22
PIT 0 20
PIT 1 25
PIT 0 3
PIT 1 10
PIT 0 8
PIT 1 11
PIT 0 1
PIT 1 0
PIT 0 5
PIT 1 17
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 6
PIT 1 3
PIT 0 11
PIT 1 2
PIT 0 13
PIT 1 27
PIT 0 9
PIT 1 9
PIT 0 20
PIT 1 5
PIT 0 7
PIT 1 14
PIT 0 15
PIT 1 25
PIT 0 16
PIT 1 1
PIT 0 22
PIT 1 28
PIT 0 18
PIT 1 15
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 19:09:58 EDT 2016
