# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 164
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 19:27:52 EDT 2016
# Player 1: Player-0, 'Human', running on XT-PeeCee
# Player 2: Player-1, 'MK7NoRandom', running on XT-PeeCee
START Player-0 Human
START Player-1 MK7NoRandom
PIT 0 6
PIT 1 6
PIT 0 22
PIT 1 12
PIT 0 24
PIT 1 16
PIT 0 26
PIT 1 22
PIT 0 19
PIT 1 2
PIT 0 16
PIT 1 10
PIT 0 29
PIT 1 17
PIT 0 9
PIT 1 9
PIT 0 15
PIT 1 15
PIT 0 6
PIT 1 13
PIT 0 2
PIT 1 30
PIT 0 11
PIT 1 14
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 19:28:40 EDT 2016
