# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 111
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 21:34:50 EDT 2016
# Player 1: Player-0, 'MK8', running on 127.0.0.1
# Player 2: Player-1, '260638099', running on 127.0.0.1
START Player-0 MK8
START Player-1 260638099
PIT 0 0
PIT 1 23
PIT 0 1
PIT 1 8
PIT 0 19
PIT 1 11
PIT 0 18
PIT 1 20
PIT 0 21
PIT 1 15
PIT 0 12
PIT 1 17
PIT 0 5
PIT 1 27
PIT 0 16
PIT 1 0
PIT 0 19
PIT 1 4
PIT 0 18
PIT 1 28
PIT 0 13
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 21:35:09 EDT 2016
